; Nr	Tag	;frame	"section,"	sub-section	propertygroup	property	field	Name	Type	Processing
;121	WetGripPCT	A_PCR	Labels and certification		Labels Wet grip	Europe	CHARACTERISTIC	WetGrip PCT	C	0
;121	WetGripPCT	E_Budget_tyres	Properties		Outdoor testing	ECE Wet Grip labeling (trailer)	CHAR_1	WetGrip PCT	C	0
;122	RollResistPct	A_PCR	Properties		Indoor testing	ECE Rolling resistance Labeling	CHAR_1	RollingResistance PCT	C	0
;122	RollResistPct	A_PCR	Labels and certification		Labels Rolling resistance	Europe	CHARACTERISTIC	RollingResistance PCT	C	0
;122	RollResistPct	E_Budget_tyres	Properties		Indoor testing	ECE Rolling resistance Labeling	CHAR_1	RollingResistance PCT	C	0
;123	NoisePct_dB	A_PCR	Properties		Outdoor testing	ECE Noise labeling	NUM_1	Noise PCT	I	0
;123	NoisePct_dB	A_PCR	Labels and certification		Labels Noise	Europe	NUM_2	Noise PCT	I	0
;123	NoisePct_dB	E_Budget_tyres	Properties		Outdoor testing	ECE Noise labeling	NUM_1	Noise PCT	I	0
;124	NoisePctClass	A_PCR	Properties		Outdoor testing	ECE Noise labeling	CHAR_1	NoiseClass PCT	C	0
;124	NoisePctClass	A_PCR	Labels and certification		Labels Noise	Europe	NUM_1	NoiseClass PCT	C	0
;124	NoisePctClass	E_Budget_tyres	Properties		Outdoor testing	ECE Noise labeling	CHAR_1	NoiseClass PCT	C	0
125	EC_VehicleClass	A_PCR	General information		General tyre characteristics	Tyre class	CHARACTERISTIC	EC VehicleClass	C	0
125	EC_VehicleClass	E_Budget_tyres	General information		General tyre characteristics	Tyre class	CHARACTERISTIC	EC VehicleClass	C	0
126	RevisionState	E_BBQ	Properties		Assembly info	Revision	CHAR_1	RevisionState	C	0
127	QualityState	E_BBQ	Properties		Assembly info	Quality state	CHAR_1	QualityState	C	0
128	Variant	E_BBQ	Properties		Assembly info	Variant	CHAR_1	Variant	C	0
129	CustomerArtNumber	E_BBQ	Properties			Porsche sachnummer	CHAR_1	CustomerArtNumber	C	0
;										
1000	IS_OE	E_PCR_GT_C	SAP information			Use for OE	CHARACTERISTIC		C	0
1001	IS_OE	E_PCR_GT_B	SAP information			Use for OE	CHARACTERISTIC		C	0
1002	IS_OE	E_PCR_VULC	SAP information			Use for OE	CHARACTERISTIC		C	0
1003	IS_OE	A_PCR	SAP information			Use for OE	CHARACTERISTIC		C	0
1004	IS_OE	E_tread	SAP information			Use for OE	CHARACTERISTIC		C	0
1005	IS_OE	E_Sidewall	SAP information			Use for OE	CHARACTERISTIC		C	0
1006	IS_OE	E_Innerliner	SAP information			Use for OE	CHARACTERISTIC		C	0
1007	IS_OE	E_Ply	SAP information			Use for OE	CHARACTERISTIC		C	0
1008	IS_OE	E_Bead	SAP information			Use for OE	CHARACTERISTIC		C	0
1009	IS_OE	E_Belt	SAP information			Use for OE	CHARACTERISTIC		C	0
1010	IS_OE	E_Capply	SAP information			Use for OE	CHARACTERISTIC		C	0
1011	SAP_Material_Code	E_Bead	SAP information			SAP material group	CHARACTERISTIC		C	0
1012	SAP_Material_Code	E_FM	SAP information			SAP material group	CHARACTERISTIC		C	0
1013	SAP_Material_Code	E_XNP	SAP information			SAP material group	CHARACTERISTIC		C	0
