AllObjMajorVersion-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AllowXsltScript-Enables/Disabled the <script> element functionality in XLST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CancelWithoutComment-Cancel without comment;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;;tk-All-Change status#up-All-Change status;;tk-All-Change status#up-All-Change status;;;tk-All-Change status#up-All-Change status;;;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;;;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;tk-All-Change status#up-All-Change status;;;;;tk-All-Change status#up-All-Change status;;tk-All-Change status#up-All-Change status;;;tk-All-Change status#up-All-Change status
rqCopyDefCreateIi-What to base request infofield creation on;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rqCopyDefCreateSc-What to base request sample creation on;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rqCopyDefCreateScIi-What to base request sample infofield creation on;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rqCopyDefCreateScPa-What to base request sample parameter creation on;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rqCreate-Request creation management;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;;;;;;;;;;;;;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;
rqCreateIc-Info cards automatically created;;;;;;;;;;;;;;;;;;;;;;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;;;;;;;;;;;;;;;
rqCreateOpenIc-Oblige users to pass through info card;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;tk-Request-Creation behaviour#up-Request-Creation behaviour
rqCreateRq-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rqCreateSamplingDate-Default sampling date;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rqCreateSc-Samples automatically created;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;
rqCreationDialogue-Window behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;tk-Request-Creation behaviour#up-Request-Creation behaviour
rqCreationIn1Step-Request creation in one step;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;tk-Request-Creation behaviour#up-Request-Creation behaviour;;tk-Request-Creation behaviour#up-Request-Creation behaviour;;;
rqDefAnalDetLayout-Layout for the Analysis Details window;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;;;;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;tk-Request-Default layout#up-Request-Default layout;;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;;
rqDefCreateDetLayout-Layout for the Confirm details window (for request creation);tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;;;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;;;;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;tk-Request-Default layout#up-Request-Default layout;;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;tk-Request-Default layout#up-Request-Default layout;;;
