; Nr	Tag	;frame	"section,"	sub-section	propertygroup	property	field	Name	Type	Processing
120	LoadCap_130							LoadCapacity 130kmh	I	0
;121	WetGripPCT	A_PCR	Properties		Outdoor testing	ECE Wet Grip labeling (trailer)	CHAR_1	WetGrip PCT	C	0
;122	RollResistPct	A_PCR	Properties		Indoor testing	ECE Rolling resistance Labeling	CHAR_1	RollingResistance PCT	C	0
;123	NoisePct_dB	A_PCR	Properties		Outdoor testing	ECE Noise labeling	NUM_1	Noise PCT	I	0
;124	NoisePctClass	A_PCR	Properties		Outdoor testing	ECE Noise labeling	CHAR_1	NoiseClass PCT	C	0
125	EC_VehicleClass	A_PCR	General information		General tyre characteristics	Tyre class	CHARACTERISTIC	EC VehicleClass	C	0
;										
1001	Width	A_Belt v1	Properties		Dimensions SFP	Width	NUM_1	MM	I	0
1002	Angle	A_Belt v1	Properties		Dimensions SFP	Angle	NUM_1	DEG	I	0
1003	Thickness	A_Belt v1	Properties		Dimensions SFP	Gauge	NUM_1	MM	I	0
1004	Width	A_Belt m2	Properties		Dimensions SFP	Width	NUM_1	MM	I	0
1005	Angle	A_Belt m2	Properties		Dimensions SFP	Angle	NUM_1	DEG	I	0
1006	Thickness	A_Belt m2	Properties		Dimensions SFP	Gauge	NUM_1	MM	I	0
1007	Width	A_Ply v1	Properties		Dimensions SFP	Width	NUM_1	MM	I	0
1008	Angle	A_Ply v1	Properties		Dimensions SFP	Angle	NUM_1	DEG	I	0
1009	Thickness	A_Ply v1	Properties		Dimensions SFP	Gauge	NUM_1	MM	I	0
1010	Width	A_Ply m2	Properties		Dimensions SFP	Width	NUM_1	MM	I	0
1011	Angle	A_Ply m2	Properties		Dimensions SFP	Angle	NUM_1	DEG	I	0
1012	Thickness	A_Ply m2	Properties		Dimensions SFP	Gauge	NUM_1	MM	I	0
1013	Diameter	A_Bead v1	Properties		Bead properties	BCID (Bead Core Inner Diameter)	NUM_1	MM	I	0
1014	Width	A_Sidewall v1	Properties		Main extrudate dimensions	Total width	NUM_1	MM	I	0
1016	Width	A_tread v1	Properties		Main extrudate dimensions	Total width	NUM_1	MM	I	0
1017	Width	A_tread pcs	Properties		Main extrudate dimensions	Total width	NUM_1	MM	I	0
1018	Width	A_Innerliner v1	Properties		Dimensions SFP	Width	NUM_1	MM	I	0
1019	Thickness	A_Innerliner v1	Properties		Dimensions SFP	Gauge	NUM_1	MM	I	0
1020	Width	A_Steelcomp v1	Properties		Properties steelcord composites	Calandered width	NUM_1	CM	F	0
1021	Weight	A_Steelcomp v1	Properties		Properties steelcord composites	Calendered material weight per m2	NUM_1	G/M2	I	0
1022	Conductivity_Check	A_tread v1	Processing Gyongyoshalasz	PEXTQUI: PCR Extruder Quintoplex group		Conductivity check	CHARACTERISTIC		C	0
1023	Conductivity_Check	A_tread v1	Processing Gyongyoshalasz	PEXTQUA: PCR Extruder Quadruplex group		Conductivity check	CHARACTERISTIC		C	0
1024	Width	A_TextComp v1	Properties		Properties textile composites	Calandered width	NUM_1	CM	F	0
1025	Weight	A_TextComp v1	Properties		Properties textile composites	Calendered material weight per m2	NUM_1	G/M2	I	0
1026	TGT_Code	A_PCR	SAP information			Treadless Greentyre Code	CHAR_1		C	0
